,price_reduced_amount,Year Built,Sold Price,Lot SqFt,Baths,Beds,Garage,Type,Tags Count,list_season,sold_season,Region
140,0.0,1969.0,700.0,9350.0,3.0,5.0,1.95156591405681,single_family,13,Fall,Winter,South
141,0.0,1983.0,314.0,1216.0,2.0,1.0,1.4848484848484849,townhomes,18,Fall,Winter,South
142,0.0,1997.0,459.9,6348.275229357798,4.0,3.0,1.5060240963855422,condos,13,Fall,Winter,South
143,0.0,1977.0,365.0,1024.0,3.0,3.0,1.4848484848484849,townhomes,11,Fall,Winter,South
146,0.0,1947.0,450.0,8030.0,2.0,3.0,1.95156591405681,single_family,9,Fall,Winter,South
148,11500.0,1965.0,219.0,6348.275229357798,2.0,3.0,1.5060240963855422,condos,8,Summer,Winter,South
149,25000.0,1986.0,518.444,6348.275229357798,2.0,2.0,1.5060240963855422,condos,17,Fall,Winter,South
150,0.0,2009.0,395.0,6348.275229357798,2.0,2.0,1.5060240963855422,condos,13,Fall,Winter,South
151,20000.0,1975.0,430.0,9000.0,2.0,4.0,1.95156591405681,single_family,12,Fall,Winter,South
153,0.0,1973.0,600.0,9000.0,3.0,3.0,1.0,single_family,10,Summer,Winter,South
154,0.0,1969.0,287.5,6348.275229357798,2.0,2.0,1.5060240963855422,condos,20,Fall,Winter,South
156,0.0,1988.0,520.0,2040.0,3.0,3.0,1.0,townhomes,16,Summer,Winter,South
157,20000.0,1965.0,430.0,10000.0,1.0,2.0,1.95156591405681,single_family,18,Fall,Winter,South
158,0.0,1978.0,550.0,15028.0,3.0,4.0,2.0,single_family,17,Fall,Winter,South
159,9900.0,1987.0,343.0,6348.275229357798,2.0,2.0,1.5060240963855422,condos,4,Fall,Winter,South
160,0.0,1977.0,420.0,6501.0,2.0,4.0,1.95156591405681,single_family,12,Fall,Winter,South
162,0.0,1978.0,230.0,6348.275229357798,1.0,1.0,1.5060240963855422,condos,8,Fall,Winter,South
205,0.0,2011.0,445.0,5663.0,2.0,3.0,2.0,single_family,11,Winter,Winter,West
209,5100.0,1973.0,415.0,9344.0,2.0,3.0,2.0,single_family,11,Summer,Winter,West
210,5000.0,1982.0,200.0,677.0,1.0,1.0,1.0,multi_family,8,Spring,Winter,West
212,0.0,1967.0,359.9,6810.0,2.0,3.0,1.95156591405681,single_family,9,Fall,Winter,West
213,8000.0,1981.0,186.0,751.0,1.0,1.0,1.0,multi_family,9,Fall,Winter,West
214,0.0,1930.0,675.0,6521.0,1.0,2.0,1.0,single_family,7,Winter,Winter,West
216,16000.0,1980.0,525.0,12197.0,2.0,3.0,2.0,single_family,15,Fall,Winter,West
217,0.0,1973.0,385.0,8006.0,2.0,3.0,2.0,single_family,10,Fall,Winter,West
219,0.0,2005.0,690.0,8880.0,4.0,4.0,3.0,single_family,13,Fall,Winter,West
220,0.0,1993.0,498.0,5528.0,2.0,3.0,2.0,single_family,12,Fall,Winter,West
221,0.0,1993.0,500.0,4696.0,2.0,3.0,2.0,single_family,12,Fall,Winter,West
222,16000.0,1979.0,340.0,8018.0,2.0,2.0,2.0,single_family,5,Summer,Winter,West
223,4000.0,1956.0,345.0,6887.0,2.0,4.0,1.95156591405681,single_family,6,Summer,Winter,West
226,0.0,2019.0,825.0,5751.0,4.0,5.0,3.0,single_family,16,Fall,Winter,West
227,0.0,1956.0,432.0,7410.0,2.0,5.0,1.95156591405681,single_family,4,Fall,Winter,West
228,25000.0,1986.0,745.0,7675.0,3.0,3.0,2.0,single_family,14,Fall,Winter,West
229,0.0,1961.0,700.0,17424.0,3.0,3.0,2.0,single_family,16,Fall,Winter,West
230,9910.0,2000.0,436.0,1065.0,3.0,2.0,2.0,townhomes,6,Summer,Winter,West
232,0.0,1943.0,827.522,8050.0,2.0,3.0,2.0,single_family,13,Fall,Winter,West
233,14000.0,1996.0,255.0,1120.0,1.0,2.0,1.0,multi_family,9,Fall,Winter,West
236,2000.0,1965.0,267.0,1213.0,2.0,2.0,1.4848484848484849,townhomes,7,Fall,Winter,West
237,0.0,1948.0,180.0,7867.0,1.0,2.0,1.95156591405681,single_family,2,Fall,Winter,West
238,0.0,2011.0,448.0,8940.0,2.0,4.0,3.0,single_family,12,Fall,Winter,West
239,0.0,1989.0,540.0,13939.0,2.0,3.0,2.0,single_family,11,Fall,Winter,West
240,0.0,1999.0,271.5,924.0,1.0,1.0,1.0,multi_family,13,Fall,Winter,West
241,0.0,1979.0,345.0,9304.0,2.0,3.0,2.0,single_family,6,Fall,Winter,West
242,0.0,1958.0,350.0,9118.0,2.0,3.0,1.0,single_family,8,Winter,Winter,West
244,10000.0,2001.0,470.0,4499.0,2.0,3.0,2.0,single_family,10,Fall,Winter,West
245,0.0,1960.0,389.9,7148.0,2.0,3.0,1.95156591405681,single_family,8,Fall,Winter,West
247,0.0,2008.0,220.0,6348.275229357798,2.0,2.0,2.0,condos,11,Fall,Winter,South
248,30900.0,2007.0,412.0,21847.145165012695,3.0,4.0,2.0,single_family,18,Fall,Winter,South
249,0.0,1991.0,425.0,9191.0,4.0,3.0,1.95156591405681,single_family,15,Fall,Winter,South
250,0.0,1998.0,292.0,21847.145165012695,2.0,3.0,2.0,single_family,14,Fall,Winter,South
252,0.0,1994.0,325.0,8843.0,3.0,4.0,2.0,single_family,17,Winter,Winter,South
253,0.0,1972.0,35.0,1750.0,1.0,2.0,1.95156591405681,single_family,3,Winter,Winter,South
255,0.0,1974.0,345.0,9750.0,4.0,8.0,2.567741935483871,multi_family,3,Fall,Winter,South
256,0.0,1972.0,350.0,11021.0,2.0,3.0,1.95156591405681,single_family,7,Winter,Winter,South
257,10000.0,1972.0,60.0,7500.0,1.0,2.0,1.95156591405681,single_family,8,Fall,Winter,South
258,2500.0,2000.0,250.0,7841.0,2.0,4.0,1.0,single_family,11,Fall,Winter,South
260,0.0,1972.0,169.9,21847.145165012695,1.0,2.0,1.95156591405681,single_family,14,Fall,Winter,South
261,10000.0,1972.0,415.0,21847.145165012695,5.0,4.0,1.95156591405681,single_family,14,Fall,Winter,South
263,8000.0,2020.0,190.0,2526.0,3.0,2.0,1.0,townhomes,9,Fall,Winter,South
265,5100.0,1940.0,258.0,22695.0,2.0,3.0,1.95156591405681,single_family,6,Summer,Winter,South
269,15100.0,2004.0,318.0,11238.0,3.0,3.0,2.0,single_family,10,Fall,Winter,South
271,0.0,1975.0,125.0,21847.145165012695,1.0,3.0,1.95156591405681,single_family,11,Fall,Winter,South
272,5000.0,2014.0,225.0,21847.145165012695,2.0,3.0,2.0,single_family,12,Fall,Winter,South
273,6000.0,1972.0,138.0,8125.0,1.0,3.0,1.95156591405681,single_family,8,Summer,Winter,South
274,0.0,1972.0,260.0,12197.0,3.0,3.0,2.0,single_family,15,Fall,Winter,South
275,0.0,1972.0,133.0,9000.0,3.0,3.0,1.95156591405681,single_family,13,Fall,Winter,South
276,0.0,1972.0,318.0,9000.0,2.0,4.0,2.567741935483871,multi_family,1,Winter,Winter,South
277,0.0,1973.0,205.5,436.0,2.0,4.0,1.95156591405681,single_family,13,Fall,Winter,South
281,0.0,2001.0,245.0,6534.0,2.0,3.0,1.95156591405681,single_family,7,Fall,Winter,South
282,0.0,1960.0,340.0,14985.0,4.0,4.0,1.95156591405681,single_family,16,Fall,Winter,South
284,0.0,2004.0,430.0,11979.0,4.0,3.0,1.95156591405681,single_family,13,Fall,Winter,South
285,9000.0,1978.0,165.0,21847.145165012695,2.0,3.0,1.95156591405681,single_family,6,Summer,Winter,South
286,0.0,1972.0,253.0,7405.0,2.0,3.0,1.95156591405681,single_family,15,Fall,Fall,South
289,20001.0,1952.0,492.45,6250.0,2.0,4.0,1.95156591405681,single_family,8,Fall,Winter,West
290,19900.0,1952.0,450.0,7360.0,1.0,2.0,1.0,single_family,17,Summer,Winter,West
291,10000.0,1997.0,318.0,6348.275229357798,2.0,2.0,1.5060240963855422,condos,14,Fall,Winter,West
292,25100.0,1972.0,570.0,8560.0,3.0,4.0,2.0,single_family,20,Fall,Winter,West
293,0.0,1967.0,189.0,6348.275229357798,1.0,1.0,1.0,condos,20,Fall,Winter,West
294,16000.0,1967.0,675.0,9740.0,3.0,4.0,2.0,single_family,22,Summer,Winter,West
298,9000.0,1949.0,360.0,5500.0,1.0,2.0,1.95156591405681,single_family,13,Fall,Winter,West
299,20000.0,2000.0,480.0,5885.0,3.0,3.0,2.0,single_family,10,Fall,Winter,West
300,15000.0,2003.0,368.0,6348.275229357798,2.0,2.0,1.0,condos,18,Fall,Winter,West
301,30000.0,1931.0,310.0,6348.275229357798,1.0,1.0,1.5060240963855422,condos,8,Fall,Winter,West
302,0.0,1984.0,395.0,6348.275229357798,2.0,2.0,1.0,condos,13,Fall,Winter,West
303,0.0,1955.0,522.5,8220.0,2.0,3.0,2.0,single_family,12,Fall,Winter,West
304,6000.0,1896.0,415.0,6348.275229357798,1.0,1.0,1.0,condos,17,Fall,Winter,West
305,15000.0,1966.0,784.0,10454.0,3.0,4.0,2.0,single_family,29,Fall,Winter,West
306,0.0,1982.0,328.5,6348.275229357798,1.0,1.0,1.0,condos,13,Fall,Winter,West
307,0.0,1925.0,487.0,6098.0,2.0,3.0,1.95156591405681,single_family,10,Fall,Winter,West
308,19100.0,1951.0,525.0,7890.0,2.0,3.0,1.0,single_family,10,Fall,Winter,West
309,0.0,1936.0,345.0,1056.0,1.0,1.0,1.5060240963855422,condos,19,Fall,Fall,West
311,0.0,1951.0,419.0,7500.0,1.0,2.0,1.0,single_family,15,Fall,Fall,West
312,20000.0,1999.0,555.0,6348.275229357798,2.0,2.0,1.0,condos,14,Fall,Fall,West
313,0.0,1962.0,428.0,7600.0,2.0,5.0,1.0,single_family,18,Fall,Fall,West
314,0.0,2015.0,225.0,6348.275229357798,1.0,1.0,1.5060240963855422,condos,9,Fall,Fall,West
315,25000.0,1957.0,823.5,7320.0,3.0,4.0,2.0,single_family,17,Fall,Fall,West
317,10000.0,1972.0,623.0,10454.0,2.0,4.0,2.0,single_family,12,Summer,Fall,West
318,5000.0,1973.0,219.0,6348.275229357798,1.0,1.0,2.0,condos,21,Fall,Fall,West
319,0.0,1964.0,390.0,7405.0,2.0,3.0,1.95156591405681,single_family,11,Fall,Fall,West
320,24000.0,1951.0,765.0,6200.0,3.0,4.0,2.0,single_family,20,Spring,Fall,West
321,4000.0,1908.0,718.75,4080.0,3.0,4.0,1.95156591405681,single_family,13,Fall,Fall,West
322,0.0,1973.0,174.632,6348.275229357798,1.0,2.0,1.0,condos,14,Fall,Fall,West
323,0.0,1955.0,755.0,7800.0,3.0,4.0,1.95156591405681,single_family,18,Fall,Fall,West
325,0.0,1981.0,466.0,6348.275229357798,1.0,2.0,1.0,condos,25,Fall,Fall,West
326,0.0,1908.0,540.0,4250.0,1.0,3.0,2.0,single_family,16,Fall,Fall,West
327,0.0,1960.0,750.0,10454.0,3.0,3.0,2.0,single_family,17,Fall,Fall,West
329,0.0,1943.0,779.0,6250.0,3.0,3.0,2.0,single_family,21,Fall,Fall,West
330,0.0,1912.0,485.0,6348.275229357798,2.0,2.0,1.0,condos,19,Fall,Fall,West
331,0.0,1967.0,200.0,6348.275229357798,2.0,2.0,1.5060240963855422,condos,8,Winter,Winter,South
332,0.0,1982.0,284.9,3920.0,3.0,3.0,1.4848484848484849,townhomes,11,Winter,Winter,South
333,0.0,1955.0,415.0,10454.0,2.0,2.0,1.95156591405681,single_family,17,Fall,Winter,South
337,0.0,1984.0,145.0,3485.0,2.0,2.0,1.4848484848484849,townhomes,7,Winter,Winter,South
338,0.0,2001.0,350.0,4792.0,2.0,3.0,2.0,townhomes,12,Winter,Winter,South
339,10000.0,1977.0,169.5,19166.0,2.0,3.0,2.0,single_family,7,Fall,Winter,South
340,10000.0,2001.0,297.0,6970.0,2.0,3.0,2.0,single_family,14,Summer,Winter,South
342,0.0,2019.0,460.0,3485.0,3.0,3.0,2.0,single_family,13,Winter,Winter,South
343,0.0,1998.0,312.0,6098.0,2.0,3.0,2.0,single_family,15,Fall,Winter,South
344,0.0,1995.0,425.0,6098.0,2.0,4.0,2.0,single_family,13,Fall,Winter,South
345,0.0,1991.0,244.5,1307.0,2.0,2.0,1.4848484848484849,townhomes,12,Winter,Winter,South
346,0.0,2006.0,299.0,6970.0,2.0,3.0,2.0,single_family,13,Winter,Winter,South
347,1000.0,1960.0,59.0,5227.0,2.0,4.0,1.95156591405681,single_family,2,Summer,Winter,South
348,0.0,1958.0,79.0,7841.0,1.0,3.0,1.95156591405681,single_family,10,Winter,Winter,South
350,0.0,2007.0,570.0,9148.0,4.0,5.0,2.0,single_family,20,Fall,Winter,South
353,0.0,1976.0,228.0,10890.0,2.0,3.0,1.95156591405681,single_family,8,Winter,Winter,South
354,1000.0,2004.0,151.0,871.0,3.0,3.0,1.5060240963855422,condos,17,Fall,Winter,South
356,9900.0,1999.0,172.0,12632.0,2.0,3.0,1.95156591405681,single_family,6,Fall,Winter,South
357,15000.0,1971.0,185.0,10019.0,3.0,4.0,1.95156591405681,single_family,6,Fall,Winter,South
358,0.0,1966.0,295.0,12197.0,2.0,3.0,1.95156591405681,single_family,13,Fall,Winter,South
359,0.0,1994.0,282.0,11326.0,2.0,3.0,2.0,single_family,13,Fall,Winter,South
360,0.0,2005.0,472.5,8276.0,3.0,3.0,2.0,single_family,14,Fall,Winter,South
361,0.0,1967.0,68.0,871.0,1.0,1.0,1.5060240963855422,condos,5,Fall,Winter,South
363,0.0,1988.0,194.9,7841.0,2.0,2.0,1.4848484848484849,townhomes,9,Fall,Winter,South
365,10000.0,1970.0,236.0,22651.0,2.0,3.0,1.95156591405681,single_family,10,Summer,Winter,South
366,10000.0,2002.0,415.0,10890.0,2.0,4.0,2.0,single_family,20,Fall,Winter,South
369,14100.0,1991.0,234.9,6970.0,2.0,3.0,2.0,single_family,11,Fall,Winter,South
373,0.0,1949.0,132.5,6098.0,1.0,2.0,1.0,single_family,8,Winter,Winter,Midwest
374,0.0,1924.0,108.0,8276.0,2.0,2.0,1.95156591405681,single_family,9,Winter,Winter,Midwest
375,10000.0,1979.0,140.0,13939.0,1.0,3.0,1.95156591405681,single_family,6,Fall,Winter,Midwest
376,0.0,1984.0,163.0,9540.0,2.0,4.0,1.95156591405681,single_family,6,Fall,Winter,Midwest
377,0.0,1910.0,26.0,2178.0,1.0,3.0,1.95156591405681,single_family,9,Winter,Winter,Midwest
379,0.0,1944.0,110.0,7841.0,1.0,2.0,1.95156591405681,single_family,8,Fall,Winter,Midwest
380,0.0,1949.0,175.1,7492.0,3.0,3.0,1.95156591405681,single_family,10,Fall,Winter,Midwest
382,0.0,1957.0,204.0,12197.0,2.0,3.0,1.95156591405681,single_family,13,Fall,Winter,Midwest
383,10100.0,1994.0,310.0,19166.0,3.0,4.0,1.95156591405681,single_family,10,Fall,Winter,Midwest
384,0.0,1977.0,315.0,18731.0,3.0,4.0,1.95156591405681,single_family,19,Fall,Winter,Midwest
386,0.0,1942.0,159.9,15246.0,3.0,5.0,1.95156591405681,single_family,3,Fall,Winter,Midwest
387,0.0,1922.0,130.0,4792.0,2.0,3.0,1.95156591405681,single_family,12,Winter,Winter,Midwest
388,4900.0,1979.0,197.0,8276.0,2.0,3.0,1.95156591405681,single_family,14,Fall,Winter,Midwest
389,0.0,1949.0,89.9,4879.0,1.0,2.0,1.95156591405681,single_family,4,Fall,Winter,Midwest
390,0.0,1981.0,148.8,4792.0,2.0,3.0,1.95156591405681,single_family,7,Winter,Winter,Midwest
391,0.0,1925.0,75.0,6534.0,1.0,2.0,1.95156591405681,single_family,6,Fall,Winter,Midwest
392,0.0,1940.0,62.5,4792.0,1.0,2.0,1.95156591405681,single_family,4,Winter,Winter,Midwest
